Nimeke,ISSN/NBN,"Digitoitu, avoin käyttö","Digitoitu, rajattu käyttö",Ilmestynyt vuosina,Digitointi-%,Niteitä,Sivuja,URL
Ruutulauta : shakkipelin äänenkannattaja,fk09566,,1943,1943,100.00 %,4,88,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09566
Rv. AUK : kronikka,fk20100462,,1943 - 1944,1943,100.00 %,2,48,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100462
Ryhmän reppu,0783-2192,1938 - 1939,1940,1938 - 2025,3.41 %,6,48,https://digi.kansalliskirjasto.fi/aikakausi/titles/0783-2192
Rytmi : Suomen tanssimuusikerien lehti,0789-1962,1934 - 1937,,1934 - 1991,6.90 %,18,286,https://digi.kansalliskirjasto.fi/aikakausi/titles/0789-1962
Räiske,fk20100481,,1943 - 1944,1943 - 1944,100.00 %,20,80,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100481
Räisälän Kuulumisia,fk10410,1911 - 1912,,1911 - 1912,100.00 %,35,142,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10410
Räisälän Sanomat,fk10411,1925 - 1939,,1925 - 1939,100.00 %,727,3086,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10411
Rättvisa mot alla : tidskrift för djurskyddsföreningarna i Finland,fk00292,1894 - 1896,,1894 - 1896,100.00 %,30,595,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00292
Rådsklippan,fk03067,1935 - 1939,1940 - 1943,1935 - 1973,23.08 %,45,470,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03067
Råttan,fk11900,"1897, 1903, 1909 - 1910, 1932 - 1935","1940, 1942",1890 - 1968,12.66 %,14,62,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk11900
Röda Korsets jul,fk11250,1926 - 1939,1940 - 1944,1926 - 1992,28.36 %,19,984,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk11250
Röster från Sion,fk09569,1891 - 1899,,1891 - 1899,100.00 %,119,1933,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09569
"S. saha-, kuljetus- ja sekatyöväen liiton tiedonantolehti",fk01575,1922 - 1924,,1922 - 1924,100.00 %,11,192,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01575
S.P.T.L:n johtajalehti,fk01143,1934 - 1939,1940 - 1942,1934 - 1942,100.00 %,44,574,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01143
SAK : [tiedonantolehti],fk09573,,"1941 - 1943, 1945",1941 - 1945,80.00 %,8,316,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09573
SF nyheter,fk02560,1938 - 1939,,1938 - 1939,100.00 %,10,160,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02560
SF uutiset,fk02561,1935 - 1939,1940 - 1944,1935 - 1949,66.67 %,68,1116,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02561
SHML,fk03533,1935 - 1937,,1935 - 1938,75.00 %,25,516,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03533
SNS. Kansan Sanomat,fk10456,,1944 - 1947,1944 - 1946,100.00 %,168,1754,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10456
SOU : Suomen oppikoulujen urheilijoiden äänenkannattaja,fk01131,1932,,1932,100.00 %,3,60,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01131
SV Rauman viikko,2737-1883,,2021 - 2022,2021 - 2025,40.00 %,102,4200,https://digi.kansalliskirjasto.fi/sanomalehti/titles/2737-1883
Saarijärven Paavo,fk10412,1918 - 1932,,1917 - 1932,93.75 %,2785,10868,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10412
Saarijärven Sanomat,fk10413,,1943 - 1944,1943 - 1944,100.00 %,77,308,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10413
Sahateollisuustyöläinen,fk09572,"1907 - 1914, 1920 - 1921",,1907 - 1921,66.67 %,28,430,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09572
Sahatyöläinen,fk20090608,1913,,1913,100.00 %,46,184,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090608
Saima,1457-456X,1844 - 1846,,1844 - 1846,100.00 %,154,844,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-456X
Saimaa,1458-2473,1893 - 1895,,1893 - 1895,100.00 %,207,828,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-2473
Sairaalatalous : Suomen sairaaloiden talousvirkamiesyhdistyksen äänenkannattaja,fk03821,1933 - 1939,,1933 - 1954,31.82 %,10,566,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03821
Sairaanhoitajalehti : Suomen sairaanhoitajatarliiton äänenkannattaja,0788-3420,,1944,1944 - 1965,4.55 %,11,316,https://digi.kansalliskirjasto.fi/aikakausi/titles/0788-3420
Sairaanhoitajatarlehti : Suomen sairaanhoitajatarliiton äänenkannattaja,0788-3390,1925 - 1939,1940 - 1943,1925 - 1943,100.00 %,202,6239,https://digi.kansalliskirjasto.fi/aikakausi/titles/0788-3390
Salainen Salkku,fk09574,,"1944 - 1946, 1948 - 1949",1944 - 1949,83.33 %,26,1516,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09574
Salama : Uuden rautatielehden liite,fk36153,1906,,1906,100.00 %,2,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36153
Salapoliisi,fk09575,1934 - 1935,,1934 - 1935,100.00 %,6,52,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09575
Salapoliisi,fk02815,1938 - 1939,,1938 - 1939,100.00 %,36,908,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02815
Salapoliisikertomuksia,fk09577,1932,,1932,100.00 %,1,36,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09577
Salmetar,0356-2301,1897 - 1939,1940 - 1954,1897 - 2007,52.25 %,8071,32500,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-2301
Salon Sanomat,fk10416,1908 - 1910,,1908 - 1910,100.00 %,69,278,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10416
Salon Sanomat,fk10417,1936 - 1939,1940 - 1941,1936 - 1941,100.00 %,727,2966,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10417
Salon Seudun Kunnallislehti,fk10418,1919 - 1939,1940 - 1943,1919 - 1943,100.00 %,2958,12368,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10418
Salon Seudun Sanomat,0782-5404,,"1943 - 1954, 2017 - 2024",1943 - 2025,24.10 %,4512,87506,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-5404
Salon Seutu,fk10419,1934 - 1935,,1934 - 1935,100.00 %,51,228,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10419
Salon ja Lohjan lukko : Salon sk-piirin julkaisu,fk09578,,1941 - 1942,1941 - 1942,100.00 %,10,128,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09578
Salonjokilaakso,1456-5285,,2017 - 2024,1998 - 2025,28.57 %,405,8144,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1456-5285
Salpan sanomaa,fk20100429,,1943 - 1944,1942 - 1944,66.67 %,27,112,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100429
Salta biten,fk20050909,1887,,1887,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050909
Salvan puhdetyöuutiset,fk20210210,,1944,1943 - 1944,50.00 %,1,1,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20210210
Samarbete,0036-3715,1909 - 1916,,1909 - 2025,6.84 %,111,2660,https://digi.kansalliskirjasto.fi/aikakausi/titles/0036-3715
Samarbete : tidskrift för Bolaget Suomis agenter,fk03825,1909 - 1939,1940 - 1944,1909 - 1969,59.02 %,299,5011,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03825
Samealbmug,fk20050746,1921 - 1922,,1921 - 1922,100.00 %,7,40,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050746
Samefolkets egen tidning,fk20050745,1918 - 1939,1940 - 1944,1918 - 1960,62.79 %,113,999,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050745
Sami usteb,fk20051103,1899 - 1903,,1899 - 1903,100.00 %,58,465,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20051103
Samoilija : Suomen partiopoikajärjestön ys-lehti,fk09582,,1943 - 1944,1942 - 1945,50.00 %,18,408,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09582
Sampo,1458-2678,1888,,1888,100.00 %,37,148,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-2678
Sampo,fk09588,1929,,1929,100.00 %,3,60,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09588
Sampo,0782-5919,,"1943 - 1954, 2015 - 2024",1943 - 2025,26.51 %,1033,13996,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-5919
Sampo / Joensuun lyseon toverikunta,fk20090736,"1897, 1899 - 1903",,1800 - 1999,3.00 %,6,96,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090736
Sampo : Keskinäisen vakuutusyhtiö Sammon asiamieslehti,fk03828,1932 - 1939,1940 - 1944,1932 - 1970,33.33 %,98,1238,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03828
Sampo : Viipurin kauppiasyhdistys Sampo ry:n tiedonantolehti,fk09589,1937 - 1939,,1937 - 1939,100.00 %,18,194,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09589
Sampo : försäkringstidskrift,fk09585,1909 - 1917,,1909 - 1917,100.00 %,78,1044,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09585
Sampo : kuukautinen aikakauskirja,fk09583,1887,,1887,100.00 %,2,32,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09583
Sampo : lehti vakuutusasioita varten,fk09584,1893 - 1896,,1893 - 1896,100.00 %,23,466,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09584
Sampo : vakuutusaikakauskirja,fk09586,1909 - 1917,,1909 - 1917,100.00 %,77,1050,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09586
Sampo : Ömsesidiga försäkringsbolaget Sampos agenttidskrift,fk03832,1932 - 1939,1940 - 1944,1932 - 1970,33.33 %,98,1230,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03832
Samtid,fk09590,1916,,1916,100.00 %,9,464,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09590
Sana,fk09591,1910 - 1914,,1910 - 1914,100.00 %,57,1620,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09591
Sana,fk09592,1915 - 1917,,1915 - 1917,100.00 %,31,1144,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09592
Sana,0356-5025,,2016 - 2020,1945 - 2025,6.17 %,240,6544,https://digi.kansalliskirjasto.fi/aikakausi/titles/0356-5025
Sana ja kuva : kirjallis-taiteellinen joka toinen viikko ilmestyvä aikakausjulkaisu,fk09594,1927 - 1929,,1927 - 1929,100.00 %,20,542,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09594
Sana ja miekka : aikakauslehti puolustustahdon lujittamiseksi,fk09596,1924 - 1929,,1924 - 1929,100.00 %,137,3940,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09596
Sana ja tunnustus,fk09597,1926 - 1933,,1926 - 1950,32.00 %,23,446,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09597
Sanan Saattaja Wiipurista,1457-4586,"1833 - 1836, 1840 - 1841",,1833 - 1841,66.67 %,313,1378,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4586
Sanan-Lennätin,1457-4608,1855 - 1858,,1855 - 1858,100.00 %,156,620,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4608
Sanansaattaja,0355-8347,1876 - 1939,"1940 - 1944, 2016 - 2024",1876 - 2025,52.00 %,1759,31223,https://digi.kansalliskirjasto.fi/aikakausi/titles/0355-8347
Sanantuoja,fk10423,1914 - 1917,,1914 - 1917,100.00 %,314,1304,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10423
Sanaseppä,fk20050731,1927 - 1937,,1927 - 1938,91.67 %,72,605,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050731
Sanastaja : aikakauslehti sanatietoja ja -tiedusteluja varten,0357-2951,"1927 - 1928, 1930, 1932 - 1939","1940 - 1942, 1944",1927 - 1990,23.44 %,46,490,https://digi.kansalliskirjasto.fi/aikakausi/titles/0357-2951
Sanatar : suomea suomalaisin sanoin,fk09598,1932,,1932,100.00 %,2,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09598
Sanct-Henrik,fk03838,,"1941, 1943 - 1944",1941 - 1956,18.75 %,12,288,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03838
Sankarin Maine,fk32035,1879 - 1881,,1879 - 1881,100.00 %,103,410,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk32035
Sanningens ljus,fk36006,1917 - 1918,,1917 - 1918,100.00 %,2,64,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36006
Sanningsvittnet,fk09599,1869 - 1873,,1869 - 1873,100.00 %,47,2485,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09599
Sanningswännen,fk09600,1888 - 1889,,1888 - 1889,100.00 %,25,404,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09600
Sanomalehtiluettelo,fk20090643,1917,,1916,100.00 %,1,26,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090643
Sanomalehtimies,0036-4479,"1924, 1926 - 1939",1940 - 1944,1924 - 1992,28.99 %,77,1130,https://digi.kansalliskirjasto.fi/aikakausi/titles/0036-4479
Sanomia Hölmölästä,fk02501,1913 - 1914,,1913 - 1914,100.00 %,9,160,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02501
Sanomia Porista,fk10424,1894 - 1896,,1894 - 1896,100.00 %,305,1216,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10424
Sanomia Siionista,fk00111,1888 - 1903,,1888 - 1903,100.00 %,235,4257,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00111
Sanomia Tampereelta,1458-2686,1866,,1866,100.00 %,26,104,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-2686
Sanomia Turusta,1457-4616,1850 - 1903,,1850 - 1903,100.00 %,8319,34302,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4616
Sanomia armosta,fk02947,1904 - 1921,,1904 - 1921,100.00 %,239,4999,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02947
Sanomia sähköalalta,fk02504,"1933 - 1935, 1937 - 1939",,1933 - 1939,85.71 %,8,264,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02504
Sarastus,fk36356,1908 - 1912,,1908 - 1912,100.00 %,5,418,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36356
Sarastus : Sosialidemokraattisen raittiusliiton lasten ja nuorten lehti,fk03840,1925 - 1939,1940 - 1944,1925 - 1983,33.90 %,238,4478,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03840
Sarkatakki : Uudenmaan pohjoisen suojeluskuntapiirin suojeluskuntain äänenkannattaja,fk02507,1923 - 1939,1940 - 1944,1923 - 1944,100.00 %,241,6550,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02507
Satakunnan Kansa,0355-8746,1918 - 1939,"1940 - 1954, 2017 - 2024",1917 - 2025,41.28 %,14077,208359,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-8746
Satakunnan Kansa. Länsi-Suomi,2984-1208,,2024,2024 - 2025,50.00 %,298,14724,https://digi.kansalliskirjasto.fi/sanomalehti/titles/2984-1208
Satakunnan Lehti,fk10427,1919 - 1921,,1919 - 1921,100.00 %,184,734,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10427
Satakunnan Lotta,fk20100415,"1925, 1930, 1935",,1925 - 1935,27.27 %,3,220,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100415
Satakunnan PP jääkärit : PPP/6 jääkärien lehti,fk02513,1939,,1939,100.00 %,5,36,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02513
Satakunnan Sanomain Juttu-Tupa,fk20050002,1914 - 1915,,1914 - 1915,100.00 %,24,192,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050002
Satakunnan Sanomat,1457-599X,1906 - 1917,,1906 - 1917,100.00 %,1646,6695,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-599X
Satakunnan Suunta,fk10429,1934 - 1936,,1934 - 1936,100.00 %,81,348,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10429
Satakunnan Työ,0356-2239,,1948 - 1954,1948 - 2015,10.29 %,1053,4462,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-2239
Satakunnan Viikko,1457-9561,,2016 - 2024,1999 - 2025,33.33 %,431,18790,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-9561
Satakunnan karhu : Porin suojeluskuntapiirin lehti,fk02510,"1923 - 1926, 1939",1941,1923 - 1941,31.58 %,64,1264,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02510
Satakunnan maamies,fk02511,1910,,1910,100.00 %,5,100,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02511
Satakunnan maamies : tilapäinen maatalousjulkaisu,fk20090691,1908,,1908,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090691
Satakunnan viesti : 6402:n julkaisu,fk20100709,,1942,1942,100.00 %,1,32,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100709
Satakunta,1458-2740,1873 - 1917,,1873 - 1917,100.00 %,5566,22651,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-2740
Satakunta,fk10431,1939,,1939,100.00 %,41,246,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10431
Satakunta : kotiseutututkimuksia,fk31257,"1907, 1911, 1914, 1916, 1925 - 1926, 1929, 1931, 1936, 1939",,1907 - 2025,8.40 %,11,2800,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31257
Satakuntalainen : Satakuntalaisen osakunnan lehti,fk03844,1930 - 1934,,1930 - 1966,13.51 %,41,440,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03844
Satamatyömies,fk02515,1910 - 1912,,1906 - 1912,42.86 %,24,286,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02515
Sattuma,fk20100619,,1941,1941,100.00 %,1,19,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100619
Sattuma : 6. divisioonan lehti,fk02517,1939,,1939,100.00 %,7,56,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02517
Sattuma : Riihimäen garnisoonin sotilaslehti,fk02516,1925 - 1934,,1925 - 1934,100.00 %,167,894,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02516
Savikukko,fk20050910,1901,,1901,100.00 %,1,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050910
Savitaipale,fk11980,,1950 - 1959,1950 - 1970,47.62 %,512,2060,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk11980
Savo,1458-655X,1879 - 1891,,1878 - 1891,92.86 %,1610,6371,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-655X
Savo,1458-6592,1909 - 1939,"1940 - 1954, 1962",1909 - 1972,73.44 %,12261,72963,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-6592
Savo-Karjala,1458-6606,1888 - 1901,,1888 - 1901,100.00 %,2054,8219,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-6606
Savo-Karjala,fk10434,,1945 - 1955,1945 - 1955,100.00 %,3064,16520,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10434
Savo-Karjala : Oy Savo-Karjalan tukkuliikeen tiedonantolehti,fk02519,1935 - 1939,1940,1935 - 1940,100.00 %,24,590,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02519
Savolainen,fk10435,1907 - 1917,,1907 - 1917,100.00 %,1494,5961,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10435
Savon Jääkäri,fk10436,1918 - 1921,,1918 - 1921,100.00 %,565,2224,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10436
Savon Kansa,fk10437,1918 - 1923,,1918 - 1923,100.00 %,934,3810,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10437
Savon Kansa,fk10438,,1944 - 1955,1944 - 1958,80.00 %,2067,10964,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10438
Savon Lehti,fk10439,1911 - 1912,,1911 - 1912,100.00 %,179,778,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10439
Savon Sanomat,0356-3510,1907 - 1939,"1940 - 1954, 2015, 2017 - 2024",1907 - 2025,47.90 %,12032,169132,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-3510
Savon Suunta,fk10443,1934 - 1939,,1934 - 1939,100.00 %,607,3456,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10443
Savon Työmies,fk10445,1906 - 1910,,1906 - 1914,55.56 %,673,2689,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10445
Savon Työmies,fk10448,1930 - 1939,1940 - 1944,1930 - 1944,100.00 %,2148,9681,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10448
Savon Viikkolehti,fk10449,1891,,1891,100.00 %,53,212,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10449
Savon jääkäri : Savon prikaatin julkaisu,fk02523,1929 - 1930,,1929 - 1930,100.00 %,14,160,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02523
Savon lukko : Mikkelin suojeluskuntapiirin kuukausijulkaisu,fk02525,1927 - 1939,1940,1926 - 1940,93.33 %,146,2534,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02525
Savon miekka : Kuopion suojeluskuntapiirin kuukausijulkaisu,fk02526,"1928 - 1930, 1932 - 1939",1940 - 1944,1928 - 1944,94.12 %,161,4781,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02526
Savon sukututkija : Kuopion viikkosanomain liite,fk02527,1924,,1924,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02527
Savonlinna,1458-6614,1876 - 1881,,1876 - 1881,100.00 %,282,1133,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-6614
Savonlinna,1458-6622,1883 - 1901,,1882 - 1901,95.00 %,1517,5972,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-6622
Savonlinna,fk10441,1936 - 1939,,1936 - 1939,100.00 %,516,3069,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10441
Savonmaa,1458-6649,1919 - 1939,1940 - 1954,1919 - 1969,70.59 %,5540,24846,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-6649
Savonmaa,0784-4220,,2016 - 2024,1985 - 2025,21.95 %,393,7000,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0784-4220
Savotar,1458-6568,1891,,1891,100.00 %,6,24,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-6568
Savotar,fk10450,1906 - 1918,,1906 - 1918,100.00 %,1711,7014,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10450
Savotar,fk02532,1919 - 1926,,1919 - 1930,66.67 %,20,176,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02532
Savotar : Savolaisen osakunnan kotiseutujulkaisuja,1237-9816,"1912, 1937",,1912 - 2025,1.75 %,2,724,https://digi.kansalliskirjasto.fi/aikakausi/titles/1237-9816
Saxkikaren,fk20100430,,1943,1943,100.00 %,1,13,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100430
Scandinavie,fk20050747,1907 - 1908,,1906 - 1912,28.57 %,6,198,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050747
Schaumanin sauma,fk03852,,1943 - 1944,1943 - 1970,7.14 %,5,96,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03852
Schemor,fk20100627,,1942,1942,100.00 %,6,48,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100627
Scoutposten,1797-2523,1918 - 1939,1940 - 1944,1918 - 2025,25.00 %,257,4582,https://digi.kansalliskirjasto.fi/aikakausi/titles/1797-2523
Seikkailujen Maailma,fk03857,1937 - 1939,1940 - 1944,1937 - 1963,29.63 %,80,8718,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03857
Seinäjoen Sanomat,fk10451,1926 - 1930,,1926 - 1930,100.00 %,234,968,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10451
Seinäjoen sanomat,2243-2523,,2016 - 2023,2008 - 2025,44.44 %,360,8360,https://digi.kansalliskirjasto.fi/sanomalehti/titles/2243-2523
Seinäjoki,fk10452,1932 - 1938,,1932 - 1938,100.00 %,305,1212,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10452
Selonteko Keisarillisen Aleksanterin-yliopiston opettajain toiminnasta,2242-4806,1903 - 1917,,1903 - 1919,88.24 %,15,1680,https://digi.kansalliskirjasto.fi/aikakausi/titles/2242-4806
Selvä raide,fk02539,"1914 - 1916, 1920 - 1922, 1924 - 1925",,1914 - 1925,66.67 %,12,100,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02539
"Selänne : Haapajärvi, Kärsämäki, Pyhäjärvi, Reisjärvi",1798-5544,,2017 - 2024,2009 - 2025,47.06 %,372,8488,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1798-5544
Sementin käyttö : Suomen sementinvalmistajain yhdistyksen julkaisuja,fk02540,1935 - 1939,"1940 - 1941, 1943",1935 - 1943,88.89 %,22,1026,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02540
Sementtivalmiste,fk02541,1930 - 1932,,1930 - 1932,100.00 %,5,36,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02541
Semina : Suomen farmaseuttiliiton äänenkannattaja,0049-0164,1917 - 1939,1940 - 1944,1917 - 2006,31.11 %,277,12148,https://digi.kansalliskirjasto.fi/aikakausi/titles/0049-0164
Seppo,fk02542,1902 - 1909,,1902 - 1909,100.00 %,36,458,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02542
Service de presse Finlandia : XIIes jeux olympiques,fk31260,1938 - 1939,,1938 - 1939,100.00 %,8,23,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31260
Seura,fk02545,1926 - 1929,,1926 - 1929,100.00 %,40,1899,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02545
Seura,0037-2943,1934 - 1939,1940 - 1945,1934 - 1974,29.27 %,553,15764,https://digi.kansalliskirjasto.fi/aikakausi/titles/0037-2943
Seurakunnan ääni,fk02546,1923 - 1927,,1923 - 1927,100.00 %,26,314,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02546
Seurakunta,1456-4807,1925 - 1939,1940 - 1944,1925 - 2025,19.80 %,237,3863,https://digi.kansalliskirjasto.fi/aikakausi/titles/1456-4807
Seurakuntalehti,fk02547,1925 - 1926,,1925 - 1926,100.00 %,17,68,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02547
Seuralehti Pyrkivä,fk02556,1938 - 1939,,1938 - 1939,100.00 %,2,24,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02556
Seuralehti Yritys,fk20090659,1932,,1932,100.00 %,8,40,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090659
Seutu-Sanomat,0788-2556,,2016 - 2020,1989 - 2025,13.51 %,196,4988,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0788-2556
